left_index,right_index,left_id_consulta,right_id_consulta,left_id_consulta_original,right_id_consulta_original,left_record_key,right_record_key,left_name,right_name,left_dob,right_dob,left_sex,right_sex,blocking_passes,full_name_score,birth_date_score,sex_score,last_names_score,contact_score,total_score,classification
0,2976,JJS_M_ESP_2608_01,JJS_M_ESP_2004_10,JJS_M_ESP_2608_01,JJS_M_ESP_2004_10,transacciones|transacciones_espana_2023.csv|1,transacciones|transacciones_espana_2024.csv|1310,javier jimenez sanchez,javier jimenez sanchez,1949-08-04,1949-08-04,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
1,3939,DDD_M_ESP_1708_02,DDD_M_ESP_0705_06,DDD_M_ESP_1708_02,DDD_M_ESP_0705_06,transacciones|transacciones_espana_2023.csv|2,transacciones|transacciones_espana_2025.csv|606,daniel diaz diaz,daniel diaz diaz,1967-11-04,1967-11-04,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
1,829,DDD_M_ESP_1708_02,DDD_M_ESP_1011_30,DDD_M_ESP_1708_02,DDD_M_ESP_1011_30,transacciones|transacciones_espana_2023.csv|2,transacciones|transacciones_espana_2023.csv|830,daniel diaz diaz,daniel diaz diaz,1967-11-04,1967-11-04,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
829,3939,DDD_M_ESP_1011_30,DDD_M_ESP_0705_06,DDD_M_ESP_1011_30,DDD_M_ESP_0705_06,transacciones|transacciones_espana_2023.csv|830,transacciones|transacciones_espana_2025.csv|606,daniel diaz diaz,daniel diaz diaz,1967-11-04,1967-11-04,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
2,1253,MRF_M_ESP_2402_03,MRF_M_ESP_2807_54,MRF_M_ESP_2402_03,MRF_M_ESP_2807_54,transacciones|transacciones_espana_2023.csv|3,transacciones|transacciones_espana_2023.csv|1254,manuel rodriguez fernandez,manuel rodriguez fernandez,1987-07-24,1987-07-24,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
2269,4436,NPD_F_ESP_1103_03,NPD_F_ESP_2812_03,NPD_F_ESP_1103_03,NPD_F_ESP_2812_03,transacciones|transacciones_espana_2024.csv|603,transacciones|transacciones_espana_2025.csv|1103,nuria perez diaz,n perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country | phone_country,0.8,1.0,1.0,1.0,1.0,0.92,auto_match_supported_dob_surnames
3,1872,NPD_F_ESP_0106_04,NPD_F_ESP_0503_06,NPD_F_ESP_0106_04,NPD_F_ESP_0503_06,transacciones|transacciones_espana_2023.csv|4,transacciones|transacciones_espana_2024.csv|206,nuria perez diaz,nuria perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
1872,4436,NPD_F_ESP_0503_06,NPD_F_ESP_2812_03,NPD_F_ESP_0503_06,NPD_F_ESP_2812_03,transacciones|transacciones_espana_2024.csv|206,transacciones|transacciones_espana_2025.csv|1103,nuria perez diaz,n perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country,0.8,1.0,1.0,1.0,0.0,0.82,auto_match_supported_dob_surnames
3,4436,NPD_F_ESP_0106_04,NPD_F_ESP_2812_03,NPD_F_ESP_0106_04,NPD_F_ESP_2812_03,transacciones|transacciones_espana_2023.csv|4,transacciones|transacciones_espana_2025.csv|1103,nuria perez diaz,n perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country | phone_country,0.8,1.0,1.0,1.0,1.0,0.92,auto_match_supported_dob_surnames
1872,2269,NPD_F_ESP_0503_06,NPD_F_ESP_1103_03,NPD_F_ESP_0503_06,NPD_F_ESP_1103_03,transacciones|transacciones_espana_2024.csv|206,transacciones|transacciones_espana_2024.csv|603,nuria perez diaz,nuria perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,1.0,1.0,1.0,1.0,0.0,0.9,auto_match_supported_dob_surnames
3,2269,NPD_F_ESP_0106_04,NPD_F_ESP_1103_03,NPD_F_ESP_0106_04,NPD_F_ESP_1103_03,transacciones|transacciones_espana_2023.csv|4,transacciones|transacciones_espana_2024.csv|603,nuria perez diaz,nuria perez diaz,1942-03-09,1942-03-09,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
719,4362,EGM_F_ESP_1801_20,EGM_F_ESP_1301_29,EGM_F_ESP_1801_20,EGM_F_ESP_1301_29,transacciones|transacciones_espana_2023.csv|720,transacciones|transacciones_espana_2025.csv|1029,elena gomez martin,elena gomez martin,2013-09-15,2013-09-15,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
4,719,EGM_F_ESP_1607_05,EGM_F_ESP_1801_20,EGM_F_ESP_1607_05,EGM_F_ESP_1801_20,transacciones|transacciones_espana_2023.csv|5,transacciones|transacciones_espana_2023.csv|720,elena gomez martin,elena gomez martin,2013-09-15,2013-09-15,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | email_exact | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
4,4362,EGM_F_ESP_1607_05,EGM_F_ESP_1301_29,EGM_F_ESP_1607_05,EGM_F_ESP_1301_29,transacciones|transacciones_espana_2023.csv|5,transacciones|transacciones_espana_2025.csv|1029,elena gomez martin,elena gomez martin,2013-09-15,2013-09-15,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country | phone_country,1.0,1.0,1.0,1.0,1.0,1.0,auto_match_supported_dob_surnames
