id_direccion,id_master,pais,direccion_completa,componente_via,componente_localidad,componente_region
ADR_JAJISA_04081949M_082023_01,JAJISA_04081949M_082023,espana,"Ronda Salud 1655, Sevilla, Madrid",Ronda Salud 1655,Sevilla,Madrid
ADR_DADIDI_04111967M_052020_01,DADIDI_04111967M_052020,espana,"Avenida Norte 6431, Barcelona, Valencia",Avenida Norte 6431,Barcelona,Valencia
ADR_MAROFE_24071987M_022023_01,MAROFE_24071987M_022023,espana,"Calle Norte 3821, Zaragoza, Andalucia",Calle Norte 3821,Zaragoza,Andalucia
ADR_NUPEDI_09031942F_012022_01,NUPEDI_09031942F_012022,espana,"Ronda Independencia 4486, Sevilla, Cataluna",Ronda Independencia 4486,Sevilla,Cataluna
ADR_ELGOMA_15092013F_122021_01,ELGOMA_15092013F_122021,espana,"Paseo Salud 3809, Sevilla, Cataluna",Paseo Salud 3809,Sevilla,Cataluna
ADR_PAJIFE_13051985M_032020_01,PAJIFE_13051985M_032020,espana,"Ronda Independencia 7747, Zaragoza, Andalucia",Ronda Independencia 7747,Zaragoza,Andalucia
ADR_ALRORO_22011941M_092020_01,ALRORO_22011941M_092020,espana,"Paseo Independencia 2696, Zaragoza, Madrid",Paseo Independencia 2696,Zaragoza,Madrid
ADR_MALOSA_07022005F_092020_01,MALOSA_07022005F_092020,espana,"Calle Reforma 2502, Sevilla, Valencia",Calle Reforma 2502,Sevilla,Valencia
ADR_ALGOPE_09031963M_102020_01,ALGOPE_09031963M_102020,espana,"Calle Reforma 2811, Valencia, Valencia",Calle Reforma 2811,Valencia,Valencia
ADR_ELPEJI_17111937F_062022_01,ELPEJI_17111937F_062022,espana,"Paseo Norte 5435, Valencia, Andalucia",Paseo Norte 5435,Valencia,Andalucia
ADR_IRROGA_28081969F_092020_01,IRROGA_28081969F_092020,espana,"Ronda Salud 745, Sevilla, Madrid",Ronda Salud 745,Sevilla,Madrid
ADR_MAPEFE_12121974F_032023_01,MAPEFE_12121974F_032023,espana,"Avenida Independencia 9495, Sevilla, Aragon",Avenida Independencia 9495,Sevilla,Aragon
ADR_ISMAGA_24101987F_122023_01,ISMAGA_24101987F_122023,espana,"Ronda Reforma 6039, Barcelona, Madrid",Ronda Reforma 6039,Barcelona,Madrid
ADR_PAMADI_09122013F_062023_01,PAMADI_09122013F_062023,espana,"Paseo Independencia 349, Sevilla, Madrid",Paseo Independencia 349,Sevilla,Madrid
ADR_LUSAJI_10011984F_052020_01,LUSAJI_10011984F_052020,espana,"Paseo Central 953, Madrid, Cataluna",Paseo Central 953,Madrid,Cataluna
ADR_LAJIPE_12071943F_062023_01,LAJIPE_12071943F_062023,espana,"Paseo Reforma 4488, Madrid, Madrid",Paseo Reforma 4488,Madrid,Madrid
ADR_PAFEMA_10061973F_112020_01,PAFEMA_10061973F_112020,espana,"Paseo Salud 5308, Sevilla, Cataluna",Paseo Salud 5308,Sevilla,Cataluna
ADR_ANGAJI_28051981M_012023_01,ANGAJI_28051981M_012023,espana,"Paseo Reforma 756, Sevilla, Aragon",Paseo Reforma 756,Sevilla,Aragon
ADR_SERORU_21041993M_032020_01,SERORU_21041993M_032020,espana,"Calle Sur 5733, Valencia, Valencia",Calle Sur 5733,Valencia,Valencia
ADR_CAHEJI_09111966F_012020_01,CAHEJI_09111966F_012020,espana,"Paseo Central 293, Zaragoza, Madrid",Paseo Central 293,Zaragoza,Madrid
ADR_JAROGO_09071936M_052023_01,JAROGO_09071936M_052023,espana,"Paseo Reforma 321, Valencia, Madrid",Paseo Reforma 321,Valencia,Madrid
ADR_PAHEMA_07092007F_022020_01,PAHEMA_07092007F_022020,espana,"Paseo Salud 7381, Zaragoza, Madrid",Paseo Salud 7381,Zaragoza,Madrid
ADR_NURUJI_17071995F_042023_01,NURUJI_17071995F_042023,espana,"Paseo Sur 6733, Valencia, Aragon",Paseo Sur 6733,Valencia,Aragon
ADR_PAMAMA_22081998F_062021_01,PAMAMA_22081998F_062021,espana,"Avenida Sur 1686, Valencia, Valencia",Avenida Sur 1686,Valencia,Valencia
ADR_ISGAGA_10062006F_072020_01,ISGAGA_10062006F_072020,espana,"Avenida Sur 978, Barcelona, Cataluna",Avenida Sur 978,Barcelona,Cataluna
ADR_LUGORO_22011997F_022022_01,LUGORO_22011997F_022022,espana,"Avenida Central 7394, Valencia, Aragon",Avenida Central 7394,Valencia,Aragon
ADR_CARODI_03071949M_052020_01,CARODI_03071949M_052020,espana,"Calle Independencia 5573, Barcelona, Aragon",Calle Independencia 5573,Barcelona,Aragon
ADR_SESASA_26122024M_012023_01,SESASA_26122024M_012023,espana,"Avenida Norte 6187, Barcelona, Aragon",Avenida Norte 6187,Barcelona,Aragon
ADR_ELGADI_03011987F_032023_01,ELGADI_03011987F_032023,espana,"Paseo Norte 4672, Valencia, Cataluna",Paseo Norte 4672,Valencia,Cataluna
ADR_ANGAHE_28021971M_042023_01,ANGAHE_28021971M_042023,espana,"Ronda Central 18, Barcelona, Cataluna",Ronda Central 18,Barcelona,Cataluna
ADR_LAGARU_20111989F_112020_01,LAGARU_20111989F_112020,espana,"Ronda Sur 445, Madrid, Valencia",Ronda Sur 445,Madrid,Valencia
ADR_CLJIMA_17011972F_012023_01,CLJIMA_17011972F_012023,espana,"Avenida Salud 2661, Valencia, Cataluna",Avenida Salud 2661,Valencia,Cataluna
ADR_CASAMA_27022014F_102021_01,CASAMA_27022014F_102021,espana,"Paseo Central 6435, Sevilla, Cataluna",Paseo Central 6435,Sevilla,Cataluna
ADR_ANSARO_10011989M_022023_01,ANSARO_10011989M_022023,espana,"Ronda Reforma 3208, Valencia, Cataluna",Ronda Reforma 3208,Valencia,Cataluna
ADR_NUMAGO_27042003F_072020_01,NUMAGO_27042003F_072020,espana,"Paseo Salud 8400, Valencia, Aragon",Paseo Salud 8400,Valencia,Aragon
ADR_SEGOMA_07101995M_052023_01,SEGOMA_07101995M_052023,espana,"Calle Independencia 7356, Barcelona, Aragon",Calle Independencia 7356,Barcelona,Aragon
ADR_RAMAGO_13101978M_012023_01,RAMAGO_13101978M_012023,espana,"Calle Reforma 1745, Madrid, Madrid",Calle Reforma 1745,Madrid,Madrid
ADR_PARULO_23051983M_072021_01,PARULO_23051983M_072021,espana,"Ronda Reforma 2835, Sevilla, Madrid",Ronda Reforma 2835,Sevilla,Madrid
ADR_IRRUJI_22031970F_092023_01,IRRUJI_22031970F_092023,espana,"Ronda Salud 433, Barcelona, Cataluna",Ronda Salud 433,Barcelona,Cataluna
ADR_CAMARO_09031981M_032023_01,CAMARO_09031981M_032023,espana,"Paseo Norte 9916, Zaragoza, Aragon",Paseo Norte 9916,Zaragoza,Aragon
ADR_LARUMA_10042019F_072023_01,LARUMA_10042019F_072023,espana,"Paseo Sur 6752, Sevilla, Valencia",Paseo Sur 6752,Sevilla,Valencia
ADR_SAMASA_05031943F_102020_01,SAMASA_05031943F_102020,espana,"Paseo Sur 6401, Barcelona, Aragon",Paseo Sur 6401,Barcelona,Aragon
ADR_DAPERU_28022003M_022021_01,DAPERU_28022003M_022021,espana,"Avenida Independencia 719, Madrid, Aragon",Avenida Independencia 719,Madrid,Aragon
ADR_MIMASA_28061968M_042023_01,MIMASA_28061968M_042023,espana,"Paseo Sur 424, Sevilla, Aragon",Paseo Sur 424,Sevilla,Aragon
ADR_JAPEDI_26041958M_092021_01,JAPEDI_26041958M_092021,espana,"Calle Central 8638, Sevilla, Valencia",Calle Central 8638,Sevilla,Valencia
ADR_MAGAMA_19121978F_072020_01,MAGAMA_19121978F_072020,espana,"Paseo Sur 4275, Barcelona, Cataluna",Paseo Sur 4275,Barcelona,Cataluna
ADR_IRROMA_06041989F_012023_01,IRROMA_06041989F_012023,espana,"Paseo Salud 4797, Sevilla, Valencia",Paseo Salud 4797,Sevilla,Valencia
ADR_MIFEMA_06111972M_112023_01,MIFEMA_06111972M_112023,espana,"Ronda Independencia 9952, Zaragoza, Valencia",Ronda Independencia 9952,Zaragoza,Valencia
ADR_RADIRO_13082014M_102022_01,RADIRO_13082014M_102022,espana,"Calle Norte 3454, Zaragoza, Cataluna",Calle Norte 3454,Zaragoza,Cataluna
ADR_ALJIFE_02052012M_012021_01,ALJIFE_02052012M_012021,espana,"Calle Reforma 6815, Madrid, Andalucia",Calle Reforma 6815,Madrid,Andalucia
ADR_CAMARO_28101966F_092023_01,CAMARO_28101966F_092023,espana,"Paseo Independencia 1601, Valencia, Valencia",Paseo Independencia 1601,Valencia,Valencia
ADR_ISGOGA_05091991F_072023_01,ISGOGA_05091991F_072023,espana,"Ronda Norte 1998, Madrid, Cataluna",Ronda Norte 1998,Madrid,Cataluna
ADR_SEGADI_02022006M_112021_01,SEGADI_02022006M_112021,espana,"Paseo Sur 5041, Valencia, Cataluna",Paseo Sur 5041,Valencia,Cataluna
ADR_DARUPE_04071957M_092022_01,DARUPE_04071957M_092022,espana,"Calle Norte 5584, Sevilla, Madrid",Calle Norte 5584,Sevilla,Madrid
ADR_LUGAGO_11091986F_052022_01,LUGAGO_11091986F_052022,espana,"Ronda Sur 8756, Sevilla, Valencia",Ronda Sur 8756,Sevilla,Valencia
ADR_ELLOHE_16091962F_102022_01,ELLOHE_16091962F_102022,espana,"Paseo Sur 6755, Barcelona, Madrid",Paseo Sur 6755,Barcelona,Madrid
ADR_DAPEFE_10031943M_042023_01,DAPEFE_10031943M_042023,espana,"Avenida Sur 338, Sevilla, Valencia",Avenida Sur 338,Sevilla,Valencia
ADR_PAHEJI_26062000M_022023_01,PAHEJI_26062000M_022023,espana,"Calle Sur 3937, Sevilla, Andalucia",Calle Sur 3937,Sevilla,Andalucia
ADR_LARUHE_26012022F_092023_01,LARUHE_26012022F_092023,espana,"Avenida Sur 2558, Madrid, Valencia",Avenida Sur 2558,Madrid,Valencia
ADR_MALOHE_02021982M_032023_01,MALOHE_02021982M_032023,espana,"Paseo Norte 7066, Zaragoza, Valencia",Paseo Norte 7066,Zaragoza,Valencia
ADR_SALORU_02081969F_022022_01,SALORU_02081969F_022022,espana,"Ronda Norte 9352, Valencia, Aragon",Ronda Norte 9352,Valencia,Aragon
ADR_LUPEGA_22101975F_082021_01,LUPEGA_22101975F_082021,espana,"Calle Reforma 5524, Barcelona, Madrid",Calle Reforma 5524,Barcelona,Madrid
ADR_CLSAGO_03041947F_022021_01,CLSAGO_03041947F_022021,espana,"Calle Norte 1321, Madrid, Valencia",Calle Norte 1321,Madrid,Valencia
ADR_ELSAPE_28071981F_032023_01,ELSAPE_28071981F_032023,espana,"Paseo Salud 3573, Zaragoza, Andalucia",Paseo Salud 3573,Zaragoza,Andalucia
ADR_CLPEGO_22062000F_052023_01,CLPEGO_22062000F_052023,espana,"Calle Reforma 6822, Zaragoza, Andalucia",Calle Reforma 6822,Zaragoza,Andalucia
ADR_MIMASA_27011967M_032021_01,MIMASA_27011967M_032021,espana,"Ronda Sur 7697, Barcelona, Aragon",Ronda Sur 7697,Barcelona,Aragon
ADR_MALOHE_17071995F_082021_01,MALOHE_17071995F_082021,espana,"Calle Reforma 5051, Zaragoza, Andalucia",Calle Reforma 5051,Zaragoza,Andalucia
ADR_PADIRO_30061994F_112021_01,PADIRO_30061994F_112021,espana,"Ronda Norte 470, Madrid, Madrid",Ronda Norte 470,Madrid,Madrid
ADR_CADIMA_07021965M_122020_01,CADIMA_07021965M_122020,espana,"Paseo Salud 7780, Zaragoza, Valencia",Paseo Salud 7780,Zaragoza,Valencia
ADR_IRLOMA_18041989F_072021_01,IRLOMA_18041989F_072021,espana,"Ronda Central 5931, Zaragoza, Aragon",Ronda Central 5931,Zaragoza,Aragon
ADR_ANMAHE_11081987M_062021_01,ANMAHE_11081987M_062021,espana,"Paseo Independencia 3065, Barcelona, Andalucia",Paseo Independencia 3065,Barcelona,Andalucia
ADR_JAJIXX_11102003M_092023_01,JAJIXX_11102003M_092023,espana,"Calle Independencia 1205, Valencia, Valencia",Calle Independencia 1205,Valencia,Valencia
