id_contacto,id_master,tipo_contacto,valor
CNT_JAJISA_04081949M_082023_01,JAJISA_04081949M_082023,phone,603324757
CNT_JAJISA_04081949M_082023_02,JAJISA_04081949M_082023,email,javier.jimenez.001978@hospitalmail.com
CNT_DADIDI_04111967M_052020_01,DADIDI_04111967M_052020,phone,34681095806
CNT_DADIDI_04111967M_052020_02,DADIDI_04111967M_052020,email,daniel.diaz.002074@gmail.com
CNT_DADIDI_04111967M_052020_03,DADIDI_04111967M_052020,phone,681095806
CNT_MAROFE_24071987M_022023_01,MAROFE_24071987M_022023,phone,623487904
CNT_MAROFE_24071987M_022023_02,MAROFE_24071987M_022023,email,manuel.rodriguez.001518@gmail.com
CNT_NUPEDI_09031942F_012022_01,NUPEDI_09031942F_012022,phone,609351076
CNT_NUPEDI_09031942F_012022_02,NUPEDI_09031942F_012022,email,nuria.perez.001844@gmail.com
CNT_NUPEDI_09031942F_012022_03,NUPEDI_09031942F_012022,phone,34609351076
CNT_ELGOMA_15092013F_122021_01,ELGOMA_15092013F_122021,phone,603335049
CNT_ELGOMA_15092013F_122021_02,ELGOMA_15092013F_122021,email,elena.gomez.001050@hospitalmail.com
CNT_PAJIFE_13051985M_032020_01,PAJIFE_13051985M_032020,phone,657001390
CNT_PAJIFE_13051985M_032020_02,PAJIFE_13051985M_032020,email,pablo.jimenez.002098@gmail.com
CNT_ALRORO_22011941M_092020_01,ALRORO_22011941M_092020,phone,615561676
CNT_ALRORO_22011941M_092020_02,ALRORO_22011941M_092020,email,alejandro.rodriguez.001036@mail.com
CNT_ALRORO_22011941M_092020_03,ALRORO_22011941M_092020,phone,34615561676
CNT_MALOSA_07022005F_092020_01,MALOSA_07022005F_092020,phone,649299918
CNT_MALOSA_07022005F_092020_02,MALOSA_07022005F_092020,email,maria.lopez.001290@gmail.com
CNT_ALGOPE_09031963M_102020_01,ALGOPE_09031963M_102020,phone,6761434
CNT_ALGOPE_09031963M_102020_02,ALGOPE_09031963M_102020,email,alejandro.gomez.000844@mail.com
CNT_ALGOPE_09031963M_102020_03,ALGOPE_09031963M_102020,phone,34676143437
CNT_ALGOPE_09031963M_102020_04,ALGOPE_09031963M_102020,phone,67614343
CNT_ELPEJI_17111937F_062022_01,ELPEJI_17111937F_062022,phone,34630648603
CNT_ELPEJI_17111937F_062022_02,ELPEJI_17111937F_062022,email,elena.perez.000401@hospitalmail.com
CNT_ELPEJI_17111937F_062022_03,ELPEJI_17111937F_062022,phone,630648603
CNT_IRROGA_28081969F_092020_01,IRROGA_28081969F_092020,phone,69984360
CNT_IRROGA_28081969F_092020_02,IRROGA_28081969F_092020,email,irene.rodriguez.001985@mail.com
CNT_IRROGA_28081969F_092020_03,IRROGA_28081969F_092020,phone,699843608
CNT_IRROGA_28081969F_092020_04,IRROGA_28081969F_092020,phone,34699843608
CNT_MAPEFE_12121974F_032023_01,MAPEFE_12121974F_032023,phone,676086247
CNT_MAPEFE_12121974F_032023_02,MAPEFE_12121974F_032023,email,maria.perez.001808@hospitalmail.com
CNT_ISMAGA_24101987F_122023_01,ISMAGA_24101987F_122023,phone,621450021
CNT_ISMAGA_24101987F_122023_02,ISMAGA_24101987F_122023,email,isabel.martin.000151@hospitalmail.com
CNT_PAMADI_09122013F_062023_01,PAMADI_09122013F_062023,phone,635511655
CNT_PAMADI_09122013F_062023_02,PAMADI_09122013F_062023,email,paula.martinez.001888@outlook.com
CNT_PAMADI_09122013F_062023_03,PAMADI_09122013F_062023,phone,34635511655
CNT_LUSAJI_10011984F_052020_01,LUSAJI_10011984F_052020,phone,650228965
CNT_LUSAJI_10011984F_052020_02,LUSAJI_10011984F_052020,email,lucia.sanchez.001542@gmail.com
CNT_LAJIPE_12071943F_062023_01,LAJIPE_12071943F_062023,phone,34688667152
CNT_LAJIPE_12071943F_062023_02,LAJIPE_12071943F_062023,email,laura.jimenez.000767@hospitalmail.com
CNT_LAJIPE_12071943F_062023_03,LAJIPE_12071943F_062023,phone,688667152
CNT_PAFEMA_10061973F_112020_01,PAFEMA_10061973F_112020,phone,628968244
CNT_PAFEMA_10061973F_112020_02,PAFEMA_10061973F_112020,email,paula.fernandez.002236@outlook.com
CNT_PAFEMA_10061973F_112020_03,PAFEMA_10061973F_112020,phone,34628968244
CNT_ANGAJI_28051981M_012023_01,ANGAJI_28051981M_012023,phone,641108546
