left_index,right_index,left_id_consulta,right_id_consulta,left_id_consulta_original,right_id_consulta_original,left_record_key,right_record_key,left_name,right_name,left_dob,right_dob,left_sex,right_sex,blocking_passes,full_name_score,birth_date_score,sex_score,last_names_score,contact_score,total_score,classification
291,4183,ALS_M_ESP_2707_92,ALS_M_ESP_0303_50,ALS_M_ESP_2707_92,ALS_M_ESP_0303_50,transacciones|transacciones_espana_2023.csv|292,transacciones|transacciones_espana_2025.csv|850,alejandro lopez sanchez,alejandro lopez,1956-07-10,2011-10-14,M,M,phone_country,0.9304,0.0,1.0,0.5,1.0,0.6222,manual_review_dob_conflict
901,1187,DMR_M_ESP_2102_02,DMR_M_ESP_0509_88,DMR_M_ESP_2102_02,DMR_M_ESP_0509_88,transacciones|transacciones_espana_2023.csv|902,transacciones|transacciones_espana_2023.csv|1188,daniel martinez rodriguez,d martinez rodriguez,2010-09-30,1970-08-16,M,M,phone_country,0.805,0.0,1.0,1.0,1.0,0.622,manual_review_dob_conflict
2907,3748,NHG_F_ESP_2408_41,NHG_F_ESP_0502_15,NHG_F_ESP_2408_41,NHG_F_ESP_0502_15,transacciones|transacciones_espana_2024.csv|1241,transacciones|transacciones_espana_2025.csv|415,n hernandez gomez,nuria hernandez gomez,1997-02-20,2000-04-30,F,F,email_exact | phone_country,0.8899,0.0,1.0,1.0,1.0,0.656,manual_review_dob_conflict
5528,6436,JWM_F_USA_0103_29,JWM_F_USA_2503_37,JWM_F_USA_0103_29,JWM_F_USA_2503_37,transacciones|transacciones_estados_unidos_2023.csv|529,transacciones|transacciones_estados_unidos_2023.csv|1437,jessica wilson,jessica wilson martinez,1967-11-07,1948-05-17,F,F,email_exact | phone_country,0.9217,0.0,1.0,0.5,1.0,0.6187,manual_review_dob_conflict
6518,7587,CJJ_M_USA_2208_19,CJJ_M_USA_0212_21,CJJ_M_USA_2208_19,CJJ_M_USA_0212_21,transacciones|transacciones_estados_unidos_2023.csv|1519,transacciones|transacciones_estados_unidos_2024.csv|921,charles jones,charles jones jones,1947-05-28,2011-09-15,M,M,email_exact | phone_country,0.9368,0.0,1.0,0.5,1.0,0.6247,manual_review_dob_conflict
8904,9096,EDW_F_USA_0112_71,EDW_F_USA_1412_63,EDW_F_USA_0112_71,EDW_F_USA_1412_63,transacciones|transacciones_estados_unidos_2025.csv|571,transacciones|transacciones_estados_unidos_2025.csv|763,e davis wilson,elizabeth davis wilson,1976-11-08,1985-02-07,F,F,email_exact | phone_country,0.8052,0.0,1.0,1.0,1.0,0.6221,manual_review_dob_conflict
6839,9096,EDW_F_USA_0509_73,EDW_F_USA_1412_63,EDW_F_USA_0509_73,EDW_F_USA_1412_63,transacciones|transacciones_estados_unidos_2024.csv|173,transacciones|transacciones_estados_unidos_2025.csv|763,elizabeth davis,elizabeth davis wilson,1976-11-08,1985-02-07,F,F,phone_country,0.9364,0.0,1.0,0.5,1.0,0.6245,manual_review_dob_conflict
12901,13121,LRL_F_MEX_0601_35,LRL_F_MEX_2812_55,LRL_F_MEX_0601_35,LRL_F_MEX_2812_55,transacciones|transacciones_mexico_2024.csv|1235,transacciones|transacciones_mexico_2024.csv|1455,lucia rodriguez,lucia rodriguez lopez,1995-11-14,1968-12-18,F,F,phone_country,0.9429,0.0,1.0,0.5,1.0,0.6271,manual_review_dob_conflict
380,4238,RRR_M_ESP_2806_81,RRR_M_ESP_0701_05,RRR_M_ESP_2806_81,RRR_M_ESP_0701_05,transacciones|transacciones_espana_2023.csv|381,transacciones|transacciones_espana_2025.csv|905,r ruiz ruiz,rafael ruiz ruiz,1991-05-20,2013-05-10,M,M,email_exact,0.9062,0.0,1.0,1.0,1.0,0.6625,manual_review_dob_conflict
1187,2703,DMR_M_ESP_0509_88,DMR_M_ESP_1104_37,DMR_M_ESP_0509_88,DMR_M_ESP_1104_37,transacciones|transacciones_espana_2023.csv|1188,transacciones|transacciones_espana_2024.csv|1037,d martinez rodriguez,daniel martinez rodriguez,1970-08-16,2010-09-30,M,M,email_exact,0.805,0.0,1.0,1.0,1.0,0.622,manual_review_dob_conflict
