left_index,right_index,left_id_consulta,right_id_consulta,left_id_consulta_original,right_id_consulta_original,left_record_key,right_record_key,left_name,right_name,left_dob,right_dob,left_sex,right_sex,blocking_passes,full_name_score,birth_date_score,sex_score,last_names_score,contact_score,total_score,classification
403,419,CRH_F_ESP_0303_04,CRH_F_ESP_1407_20,CRH_F_ESP_0303_04,CRH_F_ESP_1407_20,transacciones|transacciones_espana_2023.csv|404,transacciones|transacciones_espana_2023.csv|420,claudia ruiz hernandez,claudia ruiz hernandez,1967-05-15,1974-01-21,F,F,phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
679,4238,RRR_M_ESP_3012_80,RRR_M_ESP_0701_05,RRR_M_ESP_3012_80,RRR_M_ESP_0701_05,transacciones|transacciones_espana_2023.csv|680,transacciones|transacciones_espana_2025.csv|905,rafael ruiz ruiz,rafael ruiz ruiz,1991-05-20,2013-05-10,M,M,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
2045,2640,LPR_F_ESP_1507_79,LPR_F_ESP_2512_74,LPR_F_ESP_1507_79,LPR_F_ESP_2512_74,transacciones|transacciones_espana_2024.csv|379,transacciones|transacciones_espana_2024.csv|974,laura perez ruiz,laura perez ruiz,1987-02-15,2006-07-15,F,F,phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
1467,2045,LPR_F_ESP_1812_68,LPR_F_ESP_1507_79,LPR_F_ESP_1812_68,LPR_F_ESP_1507_79,transacciones|transacciones_espana_2023.csv|1468,transacciones|transacciones_espana_2024.csv|379,laura perez ruiz,laura perez ruiz,2006-07-15,1987-02-15,F,F,phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
1523,4546,MRS_F_ESP_0404_24,MRS_F_ESP_2010_13,MRS_F_ESP_0404_24,MRS_F_ESP_2010_13,transacciones|transacciones_espana_2023.csv|1524,transacciones|transacciones_espana_2025.csv|1213,maria ruiz sanchez,maria ruiz sanchez,1989-01-29,2022-11-03,F,F,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
3142,4546,MRS_F_ESP_0701_76,MRS_F_ESP_2010_13,MRS_F_ESP_0701_76,MRS_F_ESP_2010_13,transacciones|transacciones_espana_2024.csv|1476,transacciones|transacciones_espana_2025.csv|1213,maria ruiz sanchez,maria ruiz sanchez,1989-01-29,2022-11-03,F,F,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
1592,3621,DMR_M_ESP_0409_93,DMR_M_ESP_1110_88,DMR_M_ESP_0409_93,DMR_M_ESP_1110_88,transacciones|transacciones_espana_2023.csv|1593,transacciones|transacciones_espana_2025.csv|288,d martinez rodriguez,d martinez rodriguez,2010-09-30,1970-08-16,M,M,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
1601,2414,CRH_F_ESP_2802_02,CRH_F_ESP_1005_48,CRH_F_ESP_2802_02,CRH_F_ESP_1005_48,transacciones|transacciones_espana_2023.csv|1602,transacciones|transacciones_espana_2024.csv|748,claudia ruiz hernandez,claudia ruiz hernandez,1974-01-21,1967-05-15,F,F,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
3093,4501,AHD_M_ESP_0207_27,AHD_M_ESP_2706_68,AHD_M_ESP_0207_27,AHD_M_ESP_2706_68,transacciones|transacciones_espana_2024.csv|1427,transacciones|transacciones_espana_2025.csv|1168,alejandro hernandez diaz,alejandro hernandez diaz,1935-02-01,1995-05-10,M,M,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
4323,4342,LRP_F_ESP_2807_90,LRP_F_ESP_1101_09,LRP_F_ESP_2807_90,LRP_F_ESP_1101_09,transacciones|transacciones_espana_2025.csv|990,transacciones|transacciones_espana_2025.csv|1009,lucia rodriguez perez,lucia rodriguez perez,1937-10-03,1987-09-04,F,F,email_exact | phone_country,1.0,0.0,1.0,1.0,1.0,0.7,auto_match_dob_conflict
