pair_id,left_index,right_index,nombre_a,nombre_b,fecha_nacimiento_a,fecha_nacimiento_b,sexo_a,sexo_b,telefono_a,telefono_b,correo_a,correo_b,pais_a,pais_b,id_consulta_a,id_consulta_b,decision_manual
PAIR_0001,929,2750,sergio gomez,sergio gomez,1995-10-07,1995-10-07,M,M,605422865,34605422865,,sergio.gomez.000967@hospitalmail.com,espana,espana,SGM_M_ESP_2903_30,SGM_M_ESP_1704_84,
PAIR_0002,1997,4784,sergio garcia,sergio garcia diaz,2006-02-02,2006-02-02,M,M,34645718188,645718188,sergio.garcia.000766@gmail.com,,espana,espana,SGD_M_ESP_1409_31,SGD_M_ESP_3007_51,
PAIR_0003,67,4597,miguel martinez sanchez,miguel martinez,1967-01-27,1967-01-27,M,M,34629953292,629953292,miguel.martinez.000601@outlook.com,,espana,espana,MMS_M_ESP_2208_68,MMS_M_ESP_1011_64,
PAIR_0004,2920,3032,marta martin hernandez,marta martin,1957-06-03,1957-06-03,F,F,631156954,34631156954,marta.martin.000433@hospitalmail.com,,espana,espana,MMH_F_ESP_3107_54,MMH_F_ESP_1306_66,
PAIR_0005,75,3032,marta martin hernandez,marta martin,1957-06-03,1957-06-03,F,F,631156954,34631156954,marta.martin.000433@hospitalmail.com,,espana,espana,MMH_F_ESP_2706_76,MMH_F_ESP_1306_66,
PAIR_0006,155,2494,marta garcia fernandez,marta garcia,1941-10-10,1941-10-10,F,F,34624895296,624895296,,marta.garcia.001498@gmail.com,espana,espana,MGF_F_ESP_2208_56,MGF_F_ESP_0403_28,
PAIR_0007,88,4138,irene sachez ruiz,irene sanchez,2015-11-04,2015-11-04,F,F,629947794,34629947794,,irene.sanchez.001181@outlook.com,espana,espana,ISR_F_ESP_2602_89,ISR_F_ESP_0108_05,
PAIR_0008,145,4681,carmen rodriguez rodriguez,carmen rodriguez,1974-04-03,1974-04-03,F,F,6655145,665514588,,carmen.rodriguez.000961@outlook.com,espana,espana,CRR_F_ESP_2207_46,CRR_F_ESP_2803_48,
PAIR_0009,179,4371,sergio ruiz garcia,sergio ruiz,2015-08-28,2015-08-28,M,M,34646179620,646179620,sergio.ruiz.000467@gmail.com,,espana,espana,SRG_M_ESP_2201_80,SRG_M_ESP_0402_38,
PAIR_0010,4371,4565,sergio ruiz,sergio riz garcia,2015-08-28,2015-08-28,M,M,646179620,,,sergio.ruiz.000467@gmail.com,espana,espana,SRG_M_ESP_0402_38,SRG_M_ESP_0204_32,
PAIR_0011,184,743,nuria lopez ruiz,nuria lopez,1972-05-11,1972-05-11,F,F,34666332292,666332292,nuria.lopez.000768@outlook.com,,espana,espana,NLR_F_ESP_2105_85,NLR_F_ESP_2911_44,
PAIR_0012,743,1594,nuria lopez,nuria lopez ruiz,1972-05-11,1972-05-11,F,F,666332292,,,nuria.lopez.000768@outlook.com,espana,espana,NLR_F_ESP_2911_44,NLR_F_ESP_0810_95,
PAIR_0013,550,2296,manuel garcia rodriguez,manuel garcia,1936-07-02,1936-07-02,M,M,34680065945,680065945,manuel.garcia.000824@gmail.com,,espana,espana,MGR_M_ESP_2904_51,MGR_M_ESP_1602_30,
PAIR_0014,2296,4644,manuel garcia,manuel garcia rodriguez,1936-07-02,1936-07-02,M,M,680065945,680065,,manuel.garcia.000824@gmail.com,espana,espana,MGR_M_ESP_1602_30,MGR_M_ESP_2604_11,
PAIR_0015,199,1489,maria fernandez fernandez,marta sanchez martin,2005-05-25,2005-05-25,F,F,34622330934,34656229652,,marta.sanchez.001937@outlook.com,espana,espana,MFF_F_ESP_2212_00,MSM_F_ESP_1711_90,
PAIR_0016,199,2680,maria fernandez fernandez,marta sanchez martin,2005-05-25,2005-05-25,F,F,34622330934,656229652,,marta.sanchez.001937@outlook.com,espana,espana,MFF_F_ESP_2212_00,MSM_F_ESP_0510_14,
PAIR_0017,199,4791,maria fernandez fernandez,marta sanchez martin,2005-05-25,2005-05-25,F,F,34622330934,656229652,,marta.sanchez.001937@outlook.com,espana,espana,MFF_F_ESP_2212_00,MSM_F_ESP_2409_58,
