left_index,right_index,left_id_consulta,right_id_consulta,left_id_consulta_original,right_id_consulta_original,left_record_key,right_record_key,left_name,right_name,left_dob,right_dob,left_sex,right_sex,blocking_passes,full_name_score,birth_date_score,sex_score,last_names_score,contact_score,total_score,classification
929,2750,SGM_M_ESP_2903_30,SGM_M_ESP_1704_84,SGM_M_ESP_2903_30,SGM_M_ESP_1704_84,transacciones|transacciones_espana_2023.csv|930,transacciones|transacciones_espana_2024.csv|1084,sergio gomez,sergio gomez,1995-10-07,1995-10-07,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,1.0,1.0,1.0,0.5,0.0,0.85,manual_review_score
1997,4784,SGD_M_ESP_1409_31,SGD_M_ESP_3007_51,SGD_M_ESP_1409_31,SGD_M_ESP_3007_51,transacciones|transacciones_espana_2024.csv|331,transacciones|transacciones_espana_2025.csv|1451,sergio garcia,sergio garcia diaz,2006-02-02,2006-02-02,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9444,1.0,1.0,0.5,0.0,0.8278,manual_review_score
67,4597,MMS_M_ESP_2208_68,MMS_M_ESP_1011_64,MMS_M_ESP_2208_68,MMS_M_ESP_1011_64,transacciones|transacciones_espana_2023.csv|68,transacciones|transacciones_espana_2025.csv|1264,miguel martinez sanchez,miguel martinez,1967-01-27,1967-01-27,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9304,1.0,1.0,0.5,0.0,0.8222,manual_review_score
2920,3032,MMH_F_ESP_3107_54,MMH_F_ESP_1306_66,MMH_F_ESP_3107_54,MMH_F_ESP_1306_66,transacciones|transacciones_espana_2024.csv|1254,transacciones|transacciones_espana_2024.csv|1366,marta martin hernandez,marta martin,1957-06-03,1957-06-03,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9091,1.0,1.0,0.5,0.0,0.8136,manual_review_score
75,3032,MMH_F_ESP_2706_76,MMH_F_ESP_1306_66,MMH_F_ESP_2706_76,MMH_F_ESP_1306_66,transacciones|transacciones_espana_2023.csv|76,transacciones|transacciones_espana_2024.csv|1366,marta martin hernandez,marta martin,1957-06-03,1957-06-03,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9091,1.0,1.0,0.5,0.0,0.8136,manual_review_score
155,2494,MGF_F_ESP_2208_56,MGF_F_ESP_0403_28,MGF_F_ESP_2208_56,MGF_F_ESP_0403_28,transacciones|transacciones_espana_2023.csv|156,transacciones|transacciones_espana_2024.csv|828,marta garcia fernandez,marta garcia,1941-10-10,1941-10-10,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9091,1.0,1.0,0.5,0.0,0.8136,manual_review_score
88,4138,ISR_F_ESP_2602_89,ISR_F_ESP_0108_05,ISR_F_ESP_2602_89,ISR_F_ESP_0108_05,transacciones|transacciones_espana_2023.csv|89,transacciones|transacciones_espana_2025.csv|805,irene sachez ruiz,irene sanchez,2015-11-04,2015-11-04,F,F,birthdate_country,0.9258,1.0,1.0,0.481,0.0,0.8184,manual_review_score
145,4681,CRR_F_ESP_2207_46,CRR_F_ESP_2803_48,CRR_F_ESP_2207_46,CRR_F_ESP_2803_48,transacciones|transacciones_espana_2023.csv|146,transacciones|transacciones_espana_2025.csv|1348,carmen rodriguez rodriguez,carmen rodriguez,1974-04-03,1974-04-03,F,F,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9231,1.0,1.0,0.5,0.0,0.8192,manual_review_score
179,4371,SRG_M_ESP_2201_80,SRG_M_ESP_0402_38,SRG_M_ESP_2201_80,SRG_M_ESP_0402_38,transacciones|transacciones_espana_2023.csv|180,transacciones|transacciones_espana_2025.csv|1038,sergio ruiz garcia,sergio ruiz,2015-08-28,2015-08-28,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.9222,1.0,1.0,0.5,0.0,0.8189,manual_review_score
4371,4565,SRG_M_ESP_0402_38,SRG_M_ESP_0204_32,SRG_M_ESP_0402_38,SRG_M_ESP_0204_32,transacciones|transacciones_espana_2025.csv|1038,transacciones|transacciones_espana_2025.csv|1232,sergio ruiz,sergio riz garcia,2015-08-28,2015-08-28,M,M,birthdate_country | birthdate_lastname_soundex_country | birthdate_name_lastname_soundex_country,0.8995,1.0,1.0,0.4625,0.0,0.806,manual_review_score
